"Ecoregion","Target_species","Life_history_stages","Other_SPF","Gear","Timing","Season","Longitude","Latitude"
"Baltic Sea","Clupea harengus
Sprattus sprattus","juvenile, adult","Engraulis encrasicolus ","acoustics, trawls","annual","autumn",19.8633,58.488
"Baltic Sea","Clupea harengus","larval",NA,"plankton nets","weekly","winter, spring",19.8633,58.488
"Barents Sea","Clupea harengus","juvenile, adult",NA,"acoustics, trawls","annual","winter",37.1064,74.9884
"Barents Sea","Clupea harengus ","juvenile, adult",NA,"acoustics, trawls","annual","autumn",37.1064,74.9884
"Bay of Biscay","Sardina pilchardus
Engraulis encrasicolus","egg, adult","Sardina pilchardus
Engraulis encrasicolus
Sprattus sprattus
","acoustics, trawls","annual","spring",-3.1632,45.557
"California current","Clupea pallasi
","egg, adult",NA,"plankton nets","annual",NA,-126,40
"California current","Sardinops sagax
Engraulis mordax ","egg, larval",NA,"plankton nets","quarterly ","all",-126,40
"California current",NA,"juvenile, adult","Clupea pallasii
Sardinops sagax
shads","acoustics, trawls","annual","summer",-126,40
"California current","Engraulis mordax
Clupea pallasii","juvenile, adult",NA,"acoustics, trawls","annual","spring, summer",-126,40
"California current",NA,"juvenile, adult","Sardinops sagax
Engraulis mordax","trawls","annual","summer",-126,40
"California current",NA,"larval","Sardinops sagax
Engraulis mordax","plankton nets","biweekly","spring, summer, autumn",-126,40
"California current",NA,"larval","Sardinops sagax
Engraulis mordax","plankton nets","biweekly","all",-126,40
"California current","Sardinops sagax
Engraulis mordax","egg, juvenile, adult","Clupea pallasii ","acoustics, trawls","annual","summer",-126,40
"Celtic-Biscay Shelf","Sardina pilchardus
Engraulis encrasicolus","adult",NA,NA,"annual","spring",-8.2503,49.0705
"Celtic-Biscay Shelf",NA,"adult",NA,"acoustics, trawls","annual","spring",-8.2503,49.0705
"Celtic-Biscay Shelf","Sardina pilchardus
Engraulis encrasicolus","egg, larval, adult",NA,NA,"annual","spring",-8.2503,49.0705
"Celtic-Biscay Shelf","Clupea harengus","juvenile, adult","Sprattus sprattus","acoustics, trawls","annual","summer",-8.2503,49.0705
"Celtic-Biscay Shelf","Clupea harengus
Sprattus sprattus","juvenile, adult","Sardina pilchardus
Engraulis encrasicolus
","acoustics, trawls","annual","summer",-8.2503,49.0705
"Celtic-Biscay Shelf","Sardina pilchardus
Sprattus sprattus","all","Clupea harengus
Engraulis encrasicolus ","acoustics, trawls, plankton nets","annual","autumn",-8.2503,49.0705
"Celtic-Biscay Shelf","Clupea harengus
Sprattus sprattus
Sardina pilchardus","juvenile, adult",NA,"trawls","annual","spring",-8.2503,49.0705
"Celtic-Biscay Shelf","Clupea harengus
Sprattus sprattus
Sardina pilchardus","juvenile, adult",NA,"trawls","annual","autumn",-8.2503,49.0705
"Celtic-Biscay Shelf","Clupea harengus","larval",NA,"plankton nets","annual","autumn",-8.2503,49.0705
"Celtic-Biscay Shelf",NA,"larval, juvenile",NA,"plankton nets","annual","spring",-8.2503,49.0705
"Celtic-Biscay Shelf","Sardina pilchardus
Engraulis encrasicolus","egg, adult","Sardina pilchardus
Engraulis encrasicolus
Sprattus sprattus
","acoustics, trawls","annual","spring",-8.2503,49.0705
